ID_genome_file,Mean_grey0C_08dpi,Mean_grey0C_12dpi,Mean_grey0C_15dpi,Mean_grey0C_19dpi,Mean_grey18C_08dpi,Mean_grey18C_12dpi,Mean_grey18C_15dpi,Mean_grey18C_19dpi,Mean_grey30C_08dpi,Mean_grey30C_12dpi,Mean_grey30C_15dpi,Mean_grey30C_19dpi
ST99CH_3B4,149.538944444444,116.589972222222,101.709711111111,88.2255555555556,146.845325396825,124.789571969697,101.859161616162,79.9714492063492,144.425154761905,118.779227920228,95.1129973544974,76.9909194139194
ST99CH_3B8,121.40798974359,81.9333303030303,91.1996222222222,105.651944444444,126.073824074074,78.8059,76.2529206349206,90.3695555555556,127.911362044818,86.4001243686869,87.9715846153846,101.705396969697
ST99CH_3C4,130.965399350649,114.867607142857,87.482505952381,80.510987012987,135.079796825397,114.645727994228,90.6962056277056,82.77103996004,134.172020833333,123.520413888889,100.301755555556,88.2789333333333
ST99CH_3C7,147.095444444444,118.260716666667,86.7012833333333,68.8583111111111,135.581088888889,117.9266,92.4815444444445,70.9657222222222,NA,NA,NA,NA
ST99CH_3D1,136.856611111111,122.5258,99.94925,72.7535833333333,133.901710955711,118.63791958042,89.2089825174825,73.6267377622378,134.694868055556,95.1189247807017,81.610293477283,71.4871664664665
ST99CH_3D3,142.042844444444,116.478406060606,96.9234060606061,93.0138484848485,130.136927777778,105.591936507937,90.2464007936508,83.4272354497354,132.709944444444,100.499444444444,90.8346888888889,84.8729333333333
ST99CH_3D5,149.248875291375,102.559719911667,99.9205748987854,98.4291888888889,151.858597453704,116.546915070243,108.705097834758,93.3029936061381,150.687341468254,104.838638558201,100.236944907407,97.1532582602339
ST99CH_3D7,120.845857142857,99.6391428571429,105.429857142857,98.8501666666667,128.948135714286,97.7497845238095,95.1826952380952,92.5873611111111,123.10275,104.837791666667,93.7469166666667,81.6325
ST99CH_3D8,127.801488906926,81.9017020502645,89.7288301587302,97.5085606060606,128.769009090909,87.2669348484849,94.7964888888889,117.553430555556,130.50613510101,90.8030555555556,100.599903394851,116.875282828283
ST99CH_3F1,145.903016666667,128.620464285714,107.199676190476,70.7997785714286,150.041519047619,126.661461904762,91.9601333333333,63.4987814814815,147.498679239766,117.264878362573,89.698564379085,75.3187333333333
ST99CH_3F2,137.011916666667,NA,90.2724888888889,72.8886083333333,140.721444444444,NA,87.163,86.57375,135.749877777778,NA,95.78775,80.20395
ST99CH_3F3,114.064771428571,93.4618031746032,88.7517714285714,82.8701888888889,111.900900641026,91.7775708689459,83.4193015873016,82.9619166666667,111.705511111111,97.1861944444444,95.2305,88.2034166666667
ST99CH_3F4,153.457370660522,119.362667281106,94.4821288926128,96.7466714285714,153.552408994709,114.998700577201,85.6979746179746,76.1324025974026,153.889851851852,132.534858333333,95.0001690476191,77.9513083333333
ST99CH_3F5,152.9165,139.526583333333,119.166305555556,94.4535833333333,147.424951871658,111.852682239057,88.3519606654783,74.8207111111111,156.583,142.4405,131.59625,109.02925
ST99CH_3G2,124.145108333333,78.2980634920635,81.6234325396825,74.714880952381,117.43035,79.6228333333333,80.1293333333333,71.0222222222222,158.173,116.923,100.52,79.973
ST99CH_3G3,156.743166666667,114.720888888889,103.962194444444,98.54475,154.559111111111,115.708833333333,99.9446666666667,91.0203,154.674956228956,114.817576767677,97.5576888888889,82.5556666666667
ST99CH_3G6,157.369905753968,129.044322128852,122.734411204482,109.844035714286,156.750797619048,133.511775,122.508441666667,109.94775,150.679011904762,126.335220512821,120.115223076923,110.219312820513
ST99CH_3H1,152.477357575758,106.551323333333,87.2443265151515,70.3335984848485,151.133965181772,99.9901327956989,81.1047013853006,68.3270759771629,150.516416666667,103.438587460317,90.0891499206349,78.8542387301587
ST99CH_3H3,138.346261904762,139.381097222222,129.676583333333,117.556986111111,135.585662812133,139.24420422852,120.502428250112,102.399833333333,134.465478632479,137.143094017094,122.709232478632,102.612888888889
ST99CH_3H4,127.317107936508,106.078933333333,109.261911111111,102.6358,121.920239047619,109.019672619048,108.871423188406,111.064600089969,118.493619047619,110.890233766234,111.605631623932,106.740411324786
